hw,batch_size,network,backends,mean_perf,std_perf
v100,1,resnext50_32x4d,cublas,10.2644,0.0002
v100,1,resnext50_32x4d,cudnn,2.7958,0.0013
v100,1,resnext50_32x4d,tensorrt,2.2499,0.0005
v100,1,resnext50_32x4d,autotvm,1.9283,0.0005
v100,1,resnext50_32x4d,cublas-cudnn,2.7876,0.001
v100,1,resnext50_32x4d,cublas-tensorrt,2.2516,0.0006
v100,1,resnext50_32x4d,cublas-autotvm,1.9298,0.0007
v100,1,resnext50_32x4d,cudnn-tensorrt,2.8744,0.0007
v100,1,resnext50_32x4d,cudnn-autotvm,1.8936,0.0005
v100,1,resnext50_32x4d,tensorrt-autotvm,1.7473,0.0008
v100,1,resnext50_32x4d,cublas-cudnn-tensorrt,2.8643,0.001
v100,1,resnext50_32x4d,cublas-cudnn-autotvm,1.893,0.0008
v100,1,resnext50_32x4d,cublas-tensorrt-autotvm,1.7480000000000002,0.0004
v100,1,resnext50_32x4d,cudnn-tensorrt-autotvm,1.7903,0.0006
v100,1,resnext50_32x4d,cublas-cudnn-tensorrt-autotvm,1.7876,0.0008
v100,1,nasneta,cublas,7.0318,0.0009
v100,1,nasneta,cudnn,5.4976,0.0019
v100,1,nasneta,tensorrt,3.3464,0.0012
v100,1,nasneta,autotvm,2.6319,0.0012
v100,1,nasneta,cublas-cudnn,5.557,0.0027
v100,1,nasneta,cublas-tensorrt,3.3738,0.0013
v100,1,nasneta,cublas-autotvm,2.6267,0.0006
v100,1,nasneta,cudnn-tensorrt,5.3104,0.0016
v100,1,nasneta,cudnn-autotvm,2.629,0.0005
v100,1,nasneta,tensorrt-autotvm,2.6355,0.0003
v100,1,nasneta,cublas-cudnn-tensorrt,5.3936,0.0024
v100,1,nasneta,cublas-cudnn-autotvm,2.6308,0.0004
v100,1,nasneta,cublas-tensorrt-autotvm,2.6305,0.0004
v100,1,nasneta,cudnn-tensorrt-autotvm,2.6275,0.0004
v100,1,nasneta,cublas-cudnn-tensorrt-autotvm,2.631,0.0005
v100,1,resnet50_3d,cublas,289.4659,0.0076
v100,1,resnet50_3d,cudnn,8.4797,0.0033
v100,1,resnet50_3d,tensorrt,8.4534,0.0021
v100,1,resnet50_3d,autotvm,19.086,0.0008
v100,1,resnet50_3d,cublas-cudnn,8.9495,0.001
v100,1,resnet50_3d,cublas-tensorrt,8.4503,0.0015
v100,1,resnet50_3d,cublas-autotvm,19.0862,0.0013
v100,1,resnet50_3d,cudnn-tensorrt,13.6063,0.0058
v100,1,resnet50_3d,cudnn-autotvm,5.4217,0.0003
v100,1,resnet50_3d,tensorrt-autotvm,5.4469,0.0022
v100,1,resnet50_3d,cublas-cudnn-tensorrt,13.6116,0.0048
v100,1,resnet50_3d,cublas-cudnn-autotvm,5.4213,0.0011
v100,1,resnet50_3d,cublas-tensorrt-autotvm,5.4462,0.0015
v100,1,resnet50_3d,cudnn-tensorrt-autotvm,5.4218,0.0008
v100,1,resnet50_3d,cublas-cudnn-tensorrt-autotvm,5.4234,0.0007
v100,1,dcgan,cublas,1.9661,0.0003
v100,1,dcgan,cudnn,1.651,0.0007
v100,1,dcgan,tensorrt,1.1628,0.0003
v100,1,dcgan,autotvm,1.5867,0.0005
v100,1,dcgan,cublas-cudnn,1.257,0.0005
v100,1,dcgan,cublas-tensorrt,1.1656,0.0004
v100,1,dcgan,cublas-autotvm,1.2034,0.0006
v100,1,dcgan,cudnn-tensorrt,1.4469,0.0007
v100,1,dcgan,cudnn-autotvm,1.5568,0.0007
v100,1,dcgan,tensorrt-autotvm,1.0832,0.0004
v100,1,dcgan,cublas-cudnn-tensorrt,1.4513,0.0002
v100,1,dcgan,cublas-cudnn-autotvm,1.1779,0.0003
v100,1,dcgan,cublas-tensorrt-autotvm,1.0916,0.0004
v100,1,dcgan,cudnn-tensorrt-autotvm,1.0854,0.0003
v100,1,dcgan,cublas-cudnn-tensorrt-autotvm,1.0855,0.0004
v100,1,bert_full,cublas,1.5602,0.0005
v100,1,bert_full,cudnn,5.1542,0.0003
v100,1,bert_full,tensorrt,5.7378,0.0023
v100,1,bert_full,autotvm,1.686,0.0002
v100,1,bert_full,cublas-cudnn,1.6247,0.0008
v100,1,bert_full,cublas-tensorrt,2.5767,0.0012
v100,1,bert_full,cublas-autotvm,1.4809,0.0005
v100,1,bert_full,cudnn-tensorrt,5.6943,0.0025
v100,1,bert_full,cudnn-autotvm,1.291,0.0003
v100,1,bert_full,tensorrt-autotvm,1.7602,0.0008
v100,1,bert_full,cublas-cudnn-tensorrt,2.5043,0.0007
v100,1,bert_full,cublas-cudnn-autotvm,1.0873,0.0005
v100,1,bert_full,cublas-tensorrt-autotvm,1.7679,0.0005
v100,1,bert_full,cudnn-tensorrt-autotvm,1.7121,0.0002
v100,1,bert_full,cublas-cudnn-tensorrt-autotvm,1.8621,0.0004
