number of expensive ops: bert, {'nn.dense': 40, 'nn.batch_matmul': 16}
number of expensive op types: bert, {'nn.dense': 2, 'nn.batch_matmul': 1}
number of expensive ops: resnet50, {'nn.conv2d': 52}
number of expensive op types: resnet50, {'nn.conv2d': 22}
number of expensive ops: resnext50_32x4d, {'nn.conv2d': 52}
number of expensive op types: resnext50_32x4d, {'nn.conv2d': 23}
number of expensive ops: nasneta, {'nn.conv2d': 204}
number of expensive op types: nasneta, {'nn.conv2d': 15}
number of expensive ops: nasrnn, {'nn.dense': 80}
number of expensive op types: nasrnn, {'nn.dense': 1}
number of expensive ops: resnet50_3d, {'nn.conv3d': 52}
number of expensive op types: resnet50_3d, {'nn.conv3d': 22}
number of expensive ops: mobilenet_v2, {'nn.conv2d': 51}
number of expensive op types: mobilenet_v2, {'nn.conv2d': 29}
number of expensive ops: dcgan, {'nn.dense': 2, 'nn.conv2d': 7}
number of expensive op types: dcgan, {'nn.dense': 2, 'nn.conv2d': 7}
