ResNet-18 / TVM

Graph : bn-conv-bn-relu-max_pool-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-conv-bn-relu-conv-add-bn-relu-global_avg_pool-flatten-dense-bias_add-softmax- (hash: 94037582921792)
Total Cost:2

Matched backend ops (op, cost)
(tvmgpu_bn, 0.0043)
(tvmgpu_conv2d+bn+relu, 0.094)
(tvmgpu_maxpool2d, 0.011)
(tvmgpu_bn+relu, 0.0052)
(tvmgpu_conv2d+bn+relu, 0.047)
(tvmgpu_conv2d, 0.047)
(tvmgpu_add, 0.0052)
(tvmgpu_bn+relu, 0.0052)
(tvmgpu_conv2d+bn+relu, 0.047)
(tvmgpu_conv2d, 0.047)
(tvmgpu_add, 0.0052)
(tvmgpu_bn+relu, 0.0052)
(tvmgpu_conv2d+bn+relu, 0.11)
(tvmgpu_conv2d, 0.076)
(tvmgpu_add, 0.0034)
(tvmgpu_bn+relu, 0.0034)
(tvmgpu_conv2d+bn+relu, 0.076)
(tvmgpu_conv2d, 0.076)
(tvmgpu_add, 0.0034)
(tvmgpu_bn+relu, 0.0034)
(tvmgpu_conv2d+bn+relu, 0.12)
(tvmgpu_conv2d, 0.12)
(tvmgpu_add, 0.0027)
(tvmgpu_bn+relu, 0.0027)
(tvmgpu_conv2d+bn+relu, 0.12)
(tvmgpu_conv2d, 0.12)
(tvmgpu_add, 0.0027)
(tvmgpu_bn+relu, 0.0027)
(tvmgpu_conv2d+bn, 0.26)
(tvmgpu_relu, 0.0025)
(tvmgpu_conv2d, 0.19)
(tvmgpu_add, 0.0024)
(tvmgpu_bn+relu, 0.0026)
(tvmgpu_conv2d+bn+relu, 0.19)
(tvmgpu_conv2d, 0.19)
(tvmgpu_add, 0.0024)
(tvmgpu_bn+relu, 0.0026)
(tvmgpu_globalavgpool2d, 0.0024)
(tvmgpu_batchflatten, 0.0025)
(tvmgpu_dense, 0.0055)
(tvmgpu_biasadd, 0.0024)
(tvmgpu_softmax, 0.016)
